id,name,latitude,longitude,distance_km,duration_min,type,address
162,"Larrakeyah Primary School, Larrakeyah PS Carpark, Larrakeyah, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4572771,130.829473,2.35,4.8,school,Larrakeyah PS Carpark
163,"Murrupurtiyanuwu Catholic Primary School, Kerinauia Drive, Wurrumiyanga, Tiwi Islands Region, Northern Territory, Australia",-11.7567353,130.6392957,0.0,0.0,school,Kerinauia Drive
164,"St Andrew's School, Leanyer Drive, Leanyer, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3735466,130.8994601,15.66,18.55,school,Leanyer Drive
165,"Nakara Primary School, Kilfoyle Crescent, Nakara, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.370079,130.8778228,13.77,17.14,school,Kilfoyle Crescent
166,"Henbury School, Henbury Avenue, Tiwi, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3673741,130.8840475,14.58,17.38,school,Henbury Avenue
167,"Dripstone Middle School, Willeroo Street, Tiwi, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3658768,130.8831245,15.24,18.92,school,Willeroo Street
168,"Milkwood Steiner School, 107, Boulter Road, Berrimah, Darwin, City of Darwin, Northern Territory, 0828, Australia",-12.4145278,130.9222983,15.17,17.22,school,Boulter Road
169,"Malak Primary School, Pitman Court, Malak, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3919567,130.9027246,14.93,17.31,school,Pitman Court
170,"Anula Primary School, Ford Street, Anula, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3913335,130.8934519,13.9,17.0,school,Ford Street
171,"The Essington School, 22, Chapman Road, Rapid Creek, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.382596,130.8571738,10.84,13.81,school,Chapman Road
172,"St Paul’s Catholic Primary School, Trower Road, Millner, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3870325,130.8580643,10.54,12.93,school,Trower Road
173,"Jingili Primary School, Rindberg Street, Jingili, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3871158,130.8742359,12.85,15.53,school,Rindberg Street
174,"Wulagi Primary School, Kingfisher Crescent, Wulagi, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3834654,130.8952214,14.36,17.36,school,Kingfisher Crescent
175,"Moil Primary School, Moil Crescent, Moil, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3878617,130.880563,13.08,15.98,school,Moil Crescent
176,"Sanderson Middle School, Lowrie Court, Malak, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3889241,130.8986416,14.65,17.34,school,Lowrie Court
177,"Wagaman Primary School, Wagaman Terrace, Wagaman, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3802512,130.8843177,13.46,16.42,school,Wagaman Terrace
178,"Nemarluk School, Stedcombe Street, Alawa, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3800288,130.8750822,12.53,14.83,school,Stedcombe Street
179,"Alawa School Farm, Stedcombe Street, Alawa, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3793755,130.8765161,12.78,15.37,school,Stedcombe Street
180,"Howard Spring Primary School, Whitewood Road, Howard Springs, Litchfield Municipality, Northern Territory, 0839, Australia",-12.4950556,131.0451684,29.77,32.48,school,Whitewood Road
181,"Palmerston Christian School, Surcingle Drive, Marlow Lagoon, City of Palmerston, Northern Territory, 0830, Australia",-12.4907982,130.9645421,22.74,22.76,school,Surcingle Drive
182,"Gray Primary School, Victoria Drive, Gray, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4896015,130.9803363,24.11,24.65,school,Victoria Drive
183,"St Mary's Primary School, 3, Lindsey Street, One Mile Dam, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4594214,130.8389198,1.0,2.11,school,Lindsey Street
184,"St Mary's Primary School, Lindsey Street, One Mile Dam, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4594802,130.8393497,1.01,2.09,school,Lindsey Street
185,"Stuart Park Primary School, 8, Nudl Street, Stuart Park, Darwin, City of Darwin, Northern Territory, 0820, Australia",-12.4407323,130.8448625,3.87,7.41,school,Nudl Street
186,"Darwin Middle School, Atkins Drive, The Gardens, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4381982,130.8354526,4.43,7.17,school,Atkins Drive
187,"Middle Point School, Anzac Parade, Middle Point, Litchfield Municipality, Northern Territory, Australia",-12.5758742,131.3149856,67.0,62.35,school,Anzac Parade
188,"St Francis Assisi School, Strangways Road, Humpty Doo, Litchfield Municipality, Northern Territory, 0836, Australia",-12.5815953,131.0991345,40.23,38.14,school,Strangways Road
189,"Belyuen School, Cox Peninsula Road, Belyuen, Belyuen Shire, Northern Territory, Australia",-12.538992,130.7015389,108.93,86.76,school,Cox Peninsula Road
190,"Forrest Parade School, 120, Flynn Circuit, Bellamack, Palmerston, City of Palmerston, Northern Territory, 0832, Australia",-12.5140096,130.9804233,25.99,25.38,school,Flynn Circuit
191,"Rosebery Primary School, Roystonea Avenue, Rosebery, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.5112846,130.993882,26.75,26.25,school,Roystonea Avenue
192,"Woodroffe Primary School, 55, Woodroffe Avenue, Woodroffe, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.5060488,130.9825878,25.25,26.13,school,Woodroffe Avenue
193,"Moulden Park Primary School, Bonson Terrace, Moulden, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.5064204,130.9710702,24.04,23.34,school,Bonson Terrace
194,"Zucculi Primary School, Cheesefruit Street, Zuccoli, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.5119502,131.0057773,28.38,27.76,school,Cheesefruit Street
195,"Charles Darwin Uni, Technology Place, Brinkin, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3716195,130.8675993,13.84,18.52,school,Technology Place
196,"Holy Spirit Catholic Primary, Angelo Street, Casuarina, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3726633,130.8848894,14.29,17.73,school,Angelo Street
197,"Holy Family Catholic Primary, Calytrix Road, Karama, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3938049,130.9120928,15.9,18.2,school,Calytrix Road
198,"Xavier Catholic College, Nguiu Street, Wurrumiyanga, Tiwi Islands Region, Northern Territory, Australia",-11.7575522,130.6379412,0.0,0.0,school,Nguiu Street
199,"Taminmin College, Challoner Circuit, Humpty Doo, Litchfield Municipality, Northern Territory, 0836, Australia",-12.5808675,131.1018642,40.23,37.8,school,Challoner Circuit
200,"Parap Primary, Cooper Street, Parap, Darwin, City of Darwin, Northern Territory, 0820, Australia",-12.429666,130.8441976,5.26,7.24,school,Cooper Street
